theme,mouvement,count
science_progres,lumieres,384
morale_vertu,lumieres,1114
melancolie_spleen,romantisme,1169
reve_spiritualite,romantisme,1065
violence_sociale,naturalisme,419
corps_physiologie,naturalisme,1085
societe_politique,lumieres,512
nature_paysage,romantisme,1143
raison_philosophie,lumieres,844
quotidien_objets,naturalisme,678
amour_sentiments,romantisme,2061
travail_misere,naturalisme,481
TOTAL_romantisme,romantisme,5438
TOTAL_naturalisme,naturalisme,2663
TOTAL_lumieres,lumieres,2854
